date,code,name,origin,price,benchmark,savings_pct,airline,depart,return,booking_link,confirmed
2026-08-14,TAM,"Tampico, Mexico",DEN,566,802,29,Y4,2026-09-11,2026-09-18,https://www.aviasales.com/search/DEN1109TAM18091?t=AM17891347801789165020000504DENMEXTAM17897121001789736160000401TAMMEXDEN_4311fa6d1e7578e1d8f443320b6dec1b_46241&search_date=10082026&expected_price_uuid=019fea04-d915-8040-6706-88c000d6c9cf&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=e1wjeM6qZG1OGaypSGhooA&expected_price_source=share&expected_price_currency=usd&expected_price=566&marker=741311,
2026-08-14,DGO,"Durango, Mexico",MDW,617,489,-26,Y4,2026-09-19,2026-09-26,https://www.aviasales.com/search/MDW1909DGO26091?t=Y417898345001789844400000225MDWDGO17904177601790434260000215DGOMDW_3b4bb23038e0be0a5392f8777cde4130_51248&search_date=13082026&expected_price_uuid=019ffd89-c7f1-8040-2ebb-3980948760cf&static_fare_key=TY%7CP0%7CH0%7CL1_1_25%7CCH0%7CR0%7CTBC1&itinerary_key=oNj9kEgTTgExex7BOD-nDg&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=617&marker=741311,
2026-08-14,XIY,"Xianyang, China",LAX,887,1126,21,CX,2026-08-17,2026-08-30,https://www.aviasales.com/search/LAX1708XIY30081?t=CX17869299001787063400001325LAXHKGXIY17880729001788108900001500XIYHKGLAX_e6a596fed52440eb8de7c8329e8234a2_73686&search_date=13082026&expected_price_uuid=019ffc3a-ed1b-8040-69e4-0a8a6b2cf33f&static_fare_key=TY%7CP0%7CH0%7CL1_1_23%7CCH0%7CR0%7CTBC1&itinerary_key=w9ApOWJ5o2-GzcxB7gQIpw&origin_airports=1&destination_airports=0&expected_price_source=share&expected_price_currency=usd&expected_price=887&marker=741311,
2026-08-14,YLW,"Kelowna, Canada",LAX,257,529,51,WS,2026-10-29,2026-11-02,https://www.aviasales.com/search/LAX2910YLW02111?t=WS17932764001793315400000650LAXYYCYVRYLW17935995001793635080000653YLWYVRYYCLAX_3aac204a13fbee2785a23b659c9d1e47_21304&search_date=12082026&expected_price_uuid=019ff6be-2b34-8050-249d-f4e10294d526&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=sAPod_7L00xZa60uVZROVw&expected_price_source=share&expected_price_currency=usd&expected_price=257&marker=741311,
2026-08-14,RUH,"Riyadh, Saudi Arabia",JFK,641,1018,37,SV,2026-08-25,2026-09-09,https://www.aviasales.com/search/JFK2508RUH09091?t=SV17876592001787728500000735JFKRUH17889300001788965100001005RUHJEDJFK_97b85c8f0f461d60b71b818f0159dd34_52816&search_date=12082026&expected_price_uuid=019ff4a7-bfcd-8040-a59e-418d5f22d4eb&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=fMQp5C7nLR4zLFqjYDctvw&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=641&marker=741311,
2026-08-14,LUX,"Luxembourg, Luxembourg",IAH,1273,1509,16,AC,2027-02-01,2027-02-04,https://www.aviasales.com/search/IAH0102LUX04021?t=AM18014829001801587000001315IAHYULLISLUX18017628001801901940002739LUXLISMADMEXIAH_793454c09a7defc1db0187ad3aadcbf6_104983&search_date=11082026&expected_price_uuid=019fee6a-f812-8030-20b2-b1c037e7fb2a&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=IbfQjGMqkhzG6X2kPmcWpg&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=1273&marker=741311,
2026-08-14,BZV,"Brazzaville, Congo",IAD,1578,1673,6,ET,2026-11-20,2026-12-05,https://www.aviasales.com/search/IAD2011BZV05121?t=ET17951688001795259400001150IADADDBZV17964726001796544000001550BZVADDIAD_ae20636b103ce0e1829b853248d0bc37_130129&search_date=12082026&expected_price_uuid=019ff378-11b5-8040-2699-6bf3e8de881c&static_fare_key=TY%7CP0%7CH1%7CL1_2_0%7CCH0%7CR0%7CTBC1&itinerary_key=U6CRd7pN1u7-VJ-4Vv_r8A&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=1578&marker=741311,
2026-08-14,TUN,"Tunis, Tunisia",JFK,669,879,24,AZ,2026-08-24,2026-09-21,https://www.aviasales.com/search/JFK2408TUN21091?t=AZ17875929001787650500000660JFKFCOTUN17899686001789996500000765TUNFCOJFK_a1b16f11fad3a3e373506fdfc9f3d686_55067&search_date=08082026&expected_price_uuid=019fe213-dc65-8040-2ac0-f7328fa4a4c0&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=x08wBf50v3_xTm-uKnwSTw&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=669&marker=741311,
2026-08-14,ROB,"Monrovia, Liberia",JFK,2126,1028,-107,B6,2027-03-17,2027-03-31,"https://www.aviasales.com/search/JFK1703ROB31031?t=KQ18053216401805423100001451JFKLHRLGWCMNROB18065190001806651300002445ROBNBOJFK_897961b435873f40e087bea48ceb354f_176621&search_date=14082026&expected_price_uuid=019ffe6e-fdd5-8040-ab90-dd24be64425b&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=C2X4XIaktUd3qUtMl3BS0w&origin_airports=0,1&destination_airports=0,1&expected_price_source=share&expected_price_currency=usd&expected_price=2126&marker=741311",
2026-08-14,BJM,"Bujumbura, Burundi",ORD,718,1307,45,UA,2026-11-24,2027-01-17,https://www.aviasales.com/search/ORD2411BJM17011?t=UA17955426001795636500001085ORDBRUBJM18002196001800274200001390BJMBRUORD_8493229a740b0a2cc248877480fb381b_59157&search_date=11082026&expected_price_uuid=019ff14f-8eda-8040-2a71-6e23ed7aba20&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=njlCs-5pb7oCJYmewAQtjA&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=718&marker=741311,
